Node,Best Config,Best Validation Accuracy,Test Accuracy
Node_0,"{'units': 64, 'dropout_rate': 0.2, 'learning_rate': 0.0001, 'batch_size': 32, 'l2_reg': 0.01, 'epochs': 50}",0.28358209133148193,0.22388059701492538
Node_1,"{'units': 64, 'dropout_rate': 0.2, 'learning_rate': 0.0001, 'batch_size': 32, 'l2_reg': 0.01, 'epochs': 50}",0.31147539615631104,0.22950819672131148
Node_2,"{'units': 64, 'dropout_rate': 0.2, 'learning_rate': 0.0001, 'batch_size': 32, 'l2_reg': 0.01, 'epochs': 50}",0.24590164422988892,0.2459016393442623
Node_3,"{'units': 64, 'dropout_rate': 0.2, 'learning_rate': 0.0001, 'batch_size': 32, 'l2_reg': 0.01, 'epochs': 50}",0.24193547666072845,0.22580645161290322
Node_4,"{'units': 64, 'dropout_rate': 0.2, 'learning_rate': 0.0001, 'batch_size': 32, 'l2_reg': 0.01, 'epochs': 50}",0.265625,0.234375
Node_5,"{'units': 64, 'dropout_rate': 0.2, 'learning_rate': 0.0001, 'batch_size': 32, 'l2_reg': 0.01, 'epochs': 50}",0.32203391194343567,0.23728813559322035
Node_6,"{'units': 64, 'dropout_rate': 0.2, 'learning_rate': 0.0001, 'batch_size': 32, 'l2_reg': 0.01, 'epochs': 50}",0.2982456088066101,0.22807017543859648
Node_7,"{'units': 64, 'dropout_rate': 0.2, 'learning_rate': 0.0001, 'batch_size': 32, 'l2_reg': 0.01, 'epochs': 50}",0.2295081913471222,0.22950819672131148
Node_8,"{'units': 64, 'dropout_rate': 0.2, 'learning_rate': 0.0001, 'batch_size': 32, 'l2_reg': 0.01, 'epochs': 50}",0.2982456088066101,0.22807017543859648
Node_9,"{'units': 64, 'dropout_rate': 0.2, 'learning_rate': 0.0001, 'batch_size': 32, 'l2_reg': 0.01, 'epochs': 50}",0.23076923191547394,0.23076923076923078
Node_10,"{'units': 64, 'dropout_rate': 0.2, 'learning_rate': 0.0001, 'batch_size': 32, 'l2_reg': 0.01, 'epochs': 50}",0.2698412835597992,0.23809523809523808
Node_11,"{'units': 64, 'dropout_rate': 0.2, 'learning_rate': 0.0001, 'batch_size': 32, 'l2_reg': 0.01, 'epochs': 50}",0.2857142984867096,0.2222222222222222
Node_12,"{'units': 64, 'dropout_rate': 0.2, 'learning_rate': 0.0001, 'batch_size': 32, 'l2_reg': 0.01, 'epochs': 50}",0.260869562625885,0.2318840579710145
Node_13,"{'units': 64, 'dropout_rate': 0.2, 'learning_rate': 0.0001, 'batch_size': 32, 'l2_reg': 0.01, 'epochs': 50}",0.22727273404598236,0.22727272727272727
Node_14,"{'units': 64, 'dropout_rate': 0.2, 'learning_rate': 0.0001, 'batch_size': 32, 'l2_reg': 0.01, 'epochs': 50}",0.23333333432674408,0.13333333333333333
Node_15,"{'units': 64, 'dropout_rate': 0.2, 'learning_rate': 0.0001, 'batch_size': 32, 'l2_reg': 0.01, 'epochs': 50}",0.31481480598449707,0.24074074074074073
Node_16,"{'units': 64, 'dropout_rate': 0.2, 'learning_rate': 0.0001, 'batch_size': 32, 'l2_reg': 0.01, 'epochs': 50}",0.3035714328289032,0.25
Node_17,"{'units': 64, 'dropout_rate': 0.2, 'learning_rate': 0.0001, 'batch_size': 32, 'l2_reg': 0.01, 'epochs': 50}",0.26229506731033325,0.22950819672131148
Node_18,"{'units': 64, 'dropout_rate': 0.2, 'learning_rate': 0.0001, 'batch_size': 32, 'l2_reg': 0.01, 'epochs': 50}",0.25757575035095215,0.21212121212121213
Node_19,"{'units': 64, 'dropout_rate': 0.2, 'learning_rate': 0.0001, 'batch_size': 32, 'l2_reg': 0.01, 'epochs': 50}",0.26229506731033325,0.26229508196721313
Node_20,"{'units': 64, 'dropout_rate': 0.2, 'learning_rate': 0.0001, 'batch_size': 32, 'l2_reg': 0.01, 'epochs': 50}",0.2711864411830902,0.2542372881355932
Node_21,"{'units': 64, 'dropout_rate': 0.2, 'learning_rate': 0.0001, 'batch_size': 32, 'l2_reg': 0.01, 'epochs': 50}",0.32203391194343567,0.23728813559322035
Node_22,"{'units': 64, 'dropout_rate': 0.2, 'learning_rate': 0.0001, 'batch_size': 32, 'l2_reg': 0.01, 'epochs': 50}",0.22807016968727112,0.21052631578947367
Node_23,"{'units': 64, 'dropout_rate': 0.2, 'learning_rate': 0.0001, 'batch_size': 32, 'l2_reg': 0.01, 'epochs': 50}",0.22033898532390594,0.22033898305084745
Node_24,"{'units': 64, 'dropout_rate': 0.2, 'learning_rate': 0.0001, 'batch_size': 32, 'l2_reg': 0.01, 'epochs': 50}",0.27272728085517883,0.21818181818181817
Node_25,"{'units': 64, 'dropout_rate': 0.2, 'learning_rate': 0.0001, 'batch_size': 32, 'l2_reg': 0.01, 'epochs': 50}",0.22807016968727112,0.17543859649122806
Node_26,"{'units': 64, 'dropout_rate': 0.2, 'learning_rate': 0.0001, 'batch_size': 32, 'l2_reg': 0.01, 'epochs': 50}",0.25925925374031067,0.24074074074074073
Node_27,"{'units': 64, 'dropout_rate': 0.2, 'learning_rate': 0.0001, 'batch_size': 32, 'l2_reg': 0.01, 'epochs': 50}",0.25,0.21666666666666667
Node_28,"{'units': 64, 'dropout_rate': 0.2, 'learning_rate': 0.0001, 'batch_size': 32, 'l2_reg': 0.01, 'epochs': 50}",0.23529411852359772,0.23529411764705882
Node_29,"{'units': 64, 'dropout_rate': 0.2, 'learning_rate': 0.0001, 'batch_size': 32, 'l2_reg': 0.01, 'epochs': 50}",0.32758620381355286,0.22413793103448276
Node_30,"{'units': 64, 'dropout_rate': 0.2, 'learning_rate': 0.0001, 'batch_size': 32, 'l2_reg': 0.01, 'epochs': 50}",0.3181818127632141,0.22727272727272727
Node_31,"{'units': 64, 'dropout_rate': 0.2, 'learning_rate': 0.0001, 'batch_size': 32, 'l2_reg': 0.01, 'epochs': 50}",0.22580644488334656,0.22580645161290322
Node_32,"{'units': 64, 'dropout_rate': 0.2, 'learning_rate': 0.0001, 'batch_size': 32, 'l2_reg': 0.01, 'epochs': 50}",0.26229506731033325,0.21311475409836064
Node_33,"{'units': 64, 'dropout_rate': 0.2, 'learning_rate': 0.0001, 'batch_size': 32, 'l2_reg': 0.01, 'epochs': 50}",0.24193547666072845,0.22580645161290322
Node_34,"{'units': 64, 'dropout_rate': 0.2, 'learning_rate': 0.0001, 'batch_size': 32, 'l2_reg': 0.01, 'epochs': 50}",0.2884615361690521,0.25
Node_35,"{'units': 64, 'dropout_rate': 0.2, 'learning_rate': 0.0001, 'batch_size': 32, 'l2_reg': 0.01, 'epochs': 50}",0.2545454502105713,0.23636363636363636
Node_36,"{'units': 64, 'dropout_rate': 0.2, 'learning_rate': 0.0001, 'batch_size': 32, 'l2_reg': 0.01, 'epochs': 50}",0.24193547666072845,0.20967741935483872
Node_37,"{'units': 64, 'dropout_rate': 0.2, 'learning_rate': 0.0001, 'batch_size': 32, 'l2_reg': 0.01, 'epochs': 50}",0.2647058963775635,0.23529411764705882
Node_38,"{'units': 64, 'dropout_rate': 0.2, 'learning_rate': 0.0001, 'batch_size': 32, 'l2_reg': 0.01, 'epochs': 50}",0.2666666805744171,0.23333333333333334
Node_39,"{'units': 64, 'dropout_rate': 0.2, 'learning_rate': 0.0001, 'batch_size': 32, 'l2_reg': 0.01, 'epochs': 50}",0.35483869910240173,0.27419354838709675
Node_40,"{'units': 64, 'dropout_rate': 0.2, 'learning_rate': 0.0001, 'batch_size': 32, 'l2_reg': 0.01, 'epochs': 50}",0.3103448152542114,0.2413793103448276
Node_41,"{'units': 64, 'dropout_rate': 0.2, 'learning_rate': 0.0001, 'batch_size': 32, 'l2_reg': 0.01, 'epochs': 50}",0.234375,0.234375
Node_42,"{'units': 64, 'dropout_rate': 0.2, 'learning_rate': 0.0001, 'batch_size': 32, 'l2_reg': 0.01, 'epochs': 50}",0.23333333432674408,0.23333333333333334
Node_43,"{'units': 64, 'dropout_rate': 0.2, 'learning_rate': 0.0001, 'batch_size': 32, 'l2_reg': 0.01, 'epochs': 50}",0.2586206793785095,0.20689655172413793
Node_44,"{'units': 64, 'dropout_rate': 0.2, 'learning_rate': 0.0001, 'batch_size': 32, 'l2_reg': 0.01, 'epochs': 50}",0.25,0.21666666666666667
Node_45,"{'units': 64, 'dropout_rate': 0.2, 'learning_rate': 0.0001, 'batch_size': 32, 'l2_reg': 0.01, 'epochs': 50}",0.24193547666072845,0.24193548387096775
Node_46,"{'units': 64, 'dropout_rate': 0.2, 'learning_rate': 0.0001, 'batch_size': 32, 'l2_reg': 0.01, 'epochs': 50}",0.25,0.23214285714285715
Node_47,"{'units': 64, 'dropout_rate': 0.2, 'learning_rate': 0.0001, 'batch_size': 32, 'l2_reg': 0.01, 'epochs': 50}",0.2380952388048172,0.1746031746031746
Node_48,"{'units': 64, 'dropout_rate': 0.2, 'learning_rate': 0.0001, 'batch_size': 32, 'l2_reg': 0.01, 'epochs': 50}",0.2931034564971924,0.20689655172413793
Node_49,"{'units': 64, 'dropout_rate': 0.2, 'learning_rate': 0.0001, 'batch_size': 32, 'l2_reg': 0.01, 'epochs': 50}",0.2830188572406769,0.22641509433962265
